#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.247998 0.0600268 0.00383571 0.00273537 0.0564999 0.00383449 0.00278315 0.0409877 0.00633803 0.00604107
0.25306 0.0639634 0.00435484 0.00302891 0.0603696 0.00432536 0.0030724 0.0421591 0.00679203 0.00618295
0.258123 0.0682099 0.00488854 0.00341005 0.0645425 0.00499616 0.00334136 0.0434625 0.00694468 0.00616596
0.263185 0.0725626 0.00551384 0.00386822 0.0688317 0.00541275 0.00368716 0.0447953 0.00679714 0.00625114
0.268248 0.0770502 0.00604607 0.00436719 0.0732622 0.00607415 0.00404699 0.0461714 0.00670408 0.00628183
0.27331 0.0819007 0.00645488 0.0046414 0.0780522 0.00666603 0.00439269 0.0477631 0.00680418 0.00643688
0.278373 0.0862473 0.00724417 0.0047317 0.0823458 0.00698451 0.00477157 0.0490593 0.00722207 0.0065701
0.283435 0.0905584 0.00750437 0.00554351 0.086589 0.00739631 0.00531714 0.050374 0.00726599 0.00668527
0.288498 0.0951604 0.00748268 0.00587258 0.0911495 0.00749848 0.00616746 0.0518932 0.00734038 0.00694913
0.29356 0.0994629 0.00763606 0.00638156 0.0954127 0.00755839 0.00625263 0.0533123 0.00746427 0.00714456
0.298623 0.10338 0.00748218 0.0066796 0.0992955 0.00756592 0.00666814 0.0545925 0.00761114 0.00744463
0.303685 0.106999 0.00772758 0.00750404 0.102888 0.00730806 0.00719689 0.0557924 0.00738239 0.00765965
0.308748 0.110264 0.00779423 0.00803379 0.106134 0.00744627 0.007845 0.0569202 0.00752358 0.00802201
