#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 105781
9.00 0 1.11881e-05 0 8.875 9.125 178759
9.25 0 2.93385e-05 -1.39707e-06 9.125 9.375 715668
9.50 6.14114e-05 0.000555141 4.81937e-06 9.375 9.625 2.36112e+06
9.75 0.000242929 0.00192737 6.73962e-06 9.625 9.875 4.49926e+06
10.00 0.000163002 0.00147583 0 9.875 10.125 4.01835e+06
10.25 4.80771e-05 0.000506057 0 10.125 10.375 2.62079e+06
10.50 0.000157823 0.000507038 0.000136419 10.375 10.625 1.61574e+06
10.75 0.00074592 0.00153788 0.000699502 10.625 10.875 958548
11.00 0.00288259 0.00406186 0.00253001 10.875 11.125 530078
11.25 0.0106755 0.00832251 0.00853723 11.125 11.375 289354
11.50 0.0314074 0.0146436 0.0218269 11.375 11.625 156651
11.75 0.0831294 0.0197744 0.0472939 11.625 11.875 83785
12.00 0.18763 0.0147656 0.0758694 11.875 12.125 43330
12.25 0.339483 0.00733742 0.0804475 12.125 12.375 21680
12.50 0.545683 0.0294977 0.074048 12.375 12.625 10365
12.75 0.737666 0.0695423 0.0552157 12.625 12.875 4601
13.00 0.865904 0.0576525 0.038731 12.875 13.125 1924
13.25 0.923741 0.0417266 0.0175361 13.125 13.375 695
13.50 0.978448 0.00431037 0.012931 13.375 13.625 232
13.75 0.980769 0 0 13.625 13.875 52
14.00 1 0 0 13.875 14.125 5
14.25 1 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
