#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 39946
9.00 1.38395e-05 1.38387e-05 3.82897e-10 8.875 9.125 72257
9.25 5.84457e-06 1.75289e-05 -2.91931e-06 9.125 9.375 342198
9.50 9.55355e-05 0.000471561 2.01966e-07 9.375 9.625 1.37122e+06
9.75 0.000526193 0.0026303 0 9.625 9.875 3.37709e+06
10.00 0.000299023 0.00151269 -2.92395e-05 9.875 10.125 3.92278e+06
10.25 0.000292128 0.000815452 6.29547e-05 10.125 10.375 2.68033e+06
10.50 0.00119374 0.00211506 0.000577183 10.375 10.625 1.65614e+06
10.75 0.00439753 0.00564878 0.00189837 10.625 10.875 1.01694e+06
11.00 0.0129352 0.0109657 0.00447132 10.875 11.125 598833
11.25 0.0337469 0.0167764 0.00921919 11.125 11.375 343083
11.50 0.0774467 0.0177392 0.0178781 11.375 11.625 196561
11.75 0.157578 0.0149231 0.0254292 11.625 11.875 111754
12.00 0.281042 0.00707576 0.030432 11.875 12.125 63101
12.25 0.44376 0.0101013 0.0331172 12.125 12.375 34762
12.50 0.613169 0.0278192 0.0395886 12.375 12.625 18954
12.75 0.764557 0.036328 0.0428265 12.625 12.875 9875
13.00 0.864913 0.0330336 0.0282718 12.875 13.125 5019
13.25 0.932495 0.0195053 0.0207301 13.125 13.375 2385
13.50 0.960265 0.00842577 0.00946075 13.375 13.625 1057
13.75 0.966981 0.00451535 0.00498587 13.625 13.875 424
14.00 0.980263 0 0.00657898 13.875 14.125 152
14.25 0.964286 0 0 14.125 14.375 28
14.50 1 0 0 14.375 14.625 2
14.75 1 0 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
