#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 193801
9.00 0 6.43368e-06 0 8.875 9.125 310864
9.25 9.15396e-07 1.46436e-05 9.63496e-11 9.125 9.375 1.09242e+06
9.50 3.4872e-06 4.71535e-05 1.27181e-06 9.375 9.625 3.15439e+06
9.75 1.44435e-05 0.000127635 -1.42956e-07 9.625 9.875 4.77723e+06
10.00 1.34605e-05 0.000103713 -6.91613e-07 9.875 10.125 3.64029e+06
10.25 3.62586e-06 5.15111e-05 1.85722e-06 10.125 10.375 2.20637e+06
10.50 1.23311e-05 9.97689e-05 1.23311e-05 10.375 10.625 1.29753e+06
10.75 7.94517e-05 0.000467093 7.94517e-05 10.625 10.875 704831
11.00 0.000540293 0.0015311 0.000540293 10.875 11.125 368319
11.25 0.00251051 0.0038976 0.00251051 11.125 11.375 186815
11.50 0.00998985 0.0103752 0.00998985 11.375 11.625 91593
11.75 0.0324764 0.0257417 0.0320609 11.625 11.875 43293
12.00 0.0906851 0.0403203 0.0872046 11.875 12.125 19485
12.25 0.218837 0.0440463 0.178944 12.125 12.375 8239
12.50 0.40063 0.0627003 0.189921 12.375 12.625 3175
12.75 0.597 0.173 0.165 12.625 12.875 1000
13.00 0.756024 0.189759 0.105422 12.875 13.125 332
13.25 0.920635 0.047619 0.111111 13.125 13.375 63
13.50 0.923077 0 0.0769231 13.375 13.625 13
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
