#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 29106
9.00 4.05318e-05 -8.22183e-10 4.05318e-05 8.875 9.125 49344
9.25 4.07749e-05 1.35862e-05 2.71883e-05 9.125 9.375 220724
9.50 0.000195478 8.24119e-05 0.000171639 9.375 9.625 752002
9.75 0.00199561 0.000554911 0.00153474 9.625 9.875 1.98987e+06
10.00 0.00332711 0.00108276 0.00258969 9.875 10.125 3.057e+06
10.25 0.00652259 0.00163934 0.00466293 10.125 10.375 2.30721e+06
10.50 0.0148108 0.00273256 0.0083896 10.375 10.625 1.4688e+06
10.75 0.0328344 0.00437112 0.0138318 10.625 10.875 914529
11.00 0.0644753 0.00746145 0.0197986 10.875 11.125 566217
11.25 0.112054 0.00810459 0.0246878 11.125 11.375 339560
11.50 0.179574 0.00714459 0.0269851 11.375 11.625 202151
11.75 0.272806 0.00450546 0.0246867 11.625 11.875 120166
12.00 0.392535 0.00711012 0.0223995 11.875 12.125 70707
12.25 0.513068 0.0213029 0.0238463 12.125 12.375 41437
12.50 0.638269 0.0395558 0.024261 12.375 12.625 24145
12.75 0.746461 0.0541451 0.0248615 12.625 12.875 14057
13.00 0.833354 0.0531511 0.0219094 12.875 13.125 7945
13.25 0.886369 0.0441331 0.0250984 13.125 13.375 4409
13.50 0.942138 0.027636 0.0165081 13.375 13.625 2385
13.75 0.951378 0.0272232 0.0111032 13.625 13.875 1234
14.00 0.961603 0.0249519 0.0102604 13.875 14.125 599
14.25 0.967626 0.021465 0.0112623 14.125 14.375 278
14.50 0.955056 0.0449438 0 14.375 14.625 89
14.75 1 0 0.0588235 14.625 14.875 34
15.00 1 0 0 14.875 15.125 3
15.25 0 1 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
