#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 5.00902e-05 0 8.625 8.875 39927
9.00 3.23766e-05 4.85649e-05 3.23766e-05 8.875 9.125 61773
9.25 8.32138e-05 6.33476e-05 7.52906e-05 9.125 9.375 252362
9.50 0.000385013 0.000264668 0.000356238 9.375 9.625 763610
9.75 0.00312202 0.00122289 0.00276109 9.625 9.875 1.91158e+06
10.00 0.00509545 0.00166847 0.00444372 9.875 10.125 2.92555e+06
10.25 0.00963263 0.00268943 0.00778644 10.125 10.375 2.24643e+06
10.50 0.0201253 0.00444491 0.0137757 10.375 10.625 1.4379e+06
10.75 0.0413882 0.00797897 0.0224155 10.625 10.875 897672
11.00 0.0754311 0.0131054 0.0302739 10.875 11.125 555951
11.25 0.124358 0.013611 0.0365538 11.125 11.375 335258
11.50 0.192441 0.0146922 0.0351129 11.375 11.625 200394
11.75 0.283032 0.0122369 0.0265025 11.625 11.875 119506
12.00 0.389769 0.0195108 0.015435 11.875 12.125 70470
12.25 0.503697 0.047989 0.0138008 12.125 12.375 41521
12.50 0.618621 0.0766971 0.0122762 12.375 12.625 24338
12.75 0.715999 0.0923679 0.0123644 12.625 12.875 14338
13.00 0.804568 0.0903139 0.00570875 12.875 13.125 8100
13.25 0.856115 0.0828746 0.00284243 13.125 13.375 4587
13.50 0.902698 0.0687421 -0.00479966 13.375 13.625 2446
13.75 0.927273 0.0545179 -0.00513893 13.625 13.875 1320
14.00 0.928125 0.0593554 -0.00927716 13.875 14.125 640
14.25 0.936909 0.0567017 -0.00895131 14.125 14.375 317
14.50 0.952 0.048 0 14.375 14.625 125
14.75 0.904762 0.0714285 0 14.625 14.875 42
15.00 0.666667 0.333333 0 14.875 15.125 6
15.25 1 0 0 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
