#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 38342
9.00 0 1.45894e-05 0 8.875 9.125 68541
9.25 1.22062e-05 1.22001e-05 3.05566e-06 9.125 9.375 327702
9.50 9.60009e-05 0.00043306 0 9.375 9.625 1.3229e+06
9.75 0.000538891 0.00251395 8.16595e-07 9.625 9.875 3.31422e+06
10.00 0.000322337 0.00142104 -2.38876e-05 9.875 10.125 3.89964e+06
10.25 0.000318987 0.000858078 8.58491e-05 10.125 10.375 2.67096e+06
10.50 0.00129262 0.00224852 0.000601644 10.375 10.625 1.65168e+06
10.75 0.00474922 0.00582291 0.00186587 10.625 10.875 1.01512e+06
11.00 0.0139786 0.0105104 0.00450391 10.875 11.125 599488
11.25 0.0354981 0.0159958 0.00898683 11.125 11.375 344469
11.50 0.0812852 0.0182036 0.0178223 11.375 11.625 197662
11.75 0.16219 0.0147435 0.0241752 11.625 11.875 112664
12.00 0.288357 0.0064871 0.0304741 11.875 12.125 63678
12.25 0.447626 0.0105391 0.0325232 12.125 12.375 35313
12.50 0.616659 0.0274933 0.0406296 12.375 12.625 19377
12.75 0.76456 0.0367773 0.0415486 12.625 12.875 10096
13.00 0.861604 0.0342857 0.0311213 12.875 13.125 5188
13.25 0.927769 0.0165635 0.0196261 13.125 13.375 2492
13.50 0.961096 0.00790274 0.0123784 13.375 13.625 1131
13.75 0.970588 0.0022009 0.00233424 13.625 13.875 442
14.00 0.953757 0.0115607 0 13.875 14.125 173
14.25 0.96875 0 0 14.125 14.375 32
14.50 1 0 0 14.375 14.625 5
14.75 1 0 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
