#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 3.83509e-05 3.83509e-05 0 8.625 8.875 26075
9.00 0 0 0 8.875 9.125 46398
9.25 3.22761e-05 1.38245e-05 1.38419e-05 9.125 9.375 216879
9.50 9.98247e-05 5.81391e-05 5.77187e-05 9.375 9.625 781370
9.75 0.00111472 0.000496745 0.000555805 9.625 9.875 2.12968e+06
10.00 0.00187801 0.0005962 0.00115694 9.875 10.125 3.24653e+06
10.25 0.00389572 0.000895693 0.00235892 10.125 10.375 2.38698e+06
10.50 0.00969838 0.00208948 0.00434822 10.375 10.625 1.50695e+06
10.75 0.0238947 0.00476255 0.00697166 10.625 10.875 936315
11.00 0.0506408 0.00828999 0.0107513 10.875 11.125 577755
11.25 0.0930318 0.00903296 0.0149662 11.125 11.375 344119
11.50 0.1598 0.00670394 0.0188117 11.375 11.625 203648
11.75 0.251592 0.00356072 0.0188828 11.625 11.875 120306
12.00 0.371516 0.00576529 0.0198368 11.875 12.125 70538
12.25 0.50621 0.0126492 0.0205025 12.125 12.375 41143
12.50 0.639565 0.0232596 0.0178263 12.375 12.625 23738
12.75 0.754586 0.0291001 0.0154623 12.625 12.875 13573
13.00 0.846564 0.0294677 0.0136851 12.875 13.125 7684
13.25 0.904511 0.0178868 0.0115576 13.125 13.375 4168
13.50 0.935776 0.0130828 0.00769502 13.375 13.625 2211
13.75 0.954095 0.00799847 0.00287592 13.625 13.875 1111
14.00 0.961759 0.00573611 0 13.875 14.125 523
14.25 0.964758 0.00440532 0.000155926 14.125 14.375 227
14.50 0.915254 0 0.00146115 14.375 14.625 59
14.75 1 0 0.04 14.625 14.875 25
15.00 1 0 0 14.875 15.125 1
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
