#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 3.31906e-05 0 1.09867e-09 8.625 8.875 30129
9.00 0 1.84023e-05 0 8.875 9.125 54341
9.25 1.54313e-05 7.71414e-06 7.71688e-06 9.125 9.375 259213
9.50 6.93392e-05 0.00028145 -5.2612e-06 9.375 9.625 1.0528e+06
9.75 0.000488566 0.0014199 0 9.625 9.875 2.89009e+06
10.00 0.000402857 0.000874673 5.38244e-05 9.875 10.125 3.72341e+06
10.25 0.000713459 0.0010632 0.000327285 10.125 10.375 2.59580e+06
10.50 0.00255589 0.00282097 0.000935368 10.375 10.625 1.61353e+06
10.75 0.00836772 0.00719102 0.00232499 10.625 10.875 994536
11.00 0.0215891 0.0120929 0.00456611 10.875 11.125 599886
11.25 0.0499841 0.0149062 0.0086448 11.125 11.375 348571
11.50 0.103147 0.0146383 0.0143188 11.375 11.625 202381
11.75 0.190402 0.0123354 0.0224589 11.625 11.875 117257
12.00 0.317459 0.00808716 0.0278264 11.875 12.125 67089
12.25 0.472096 0.01407 0.0266483 12.125 12.375 38149
12.50 0.629569 0.0261979 0.0348417 12.375 12.625 21286
12.75 0.766678 0.032484 0.0381202 12.625 12.875 11662
13.00 0.864631 0.0273932 0.0269686 12.875 13.125 6124
13.25 0.919092 0.0161231 0.0220094 13.125 13.375 3127
13.50 0.958088 0.0076341 0.0117176 13.375 13.625 1527
13.75 0.96793 0.00136822 0.00442636 13.625 13.875 686
14.00 0.984252 0 0.00393701 13.875 14.125 254
14.25 0.966292 0 0 14.125 14.375 89
14.50 1 0 0 14.375 14.625 16
14.75 1 0 0 14.625 14.875 2
15.00 1 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
