#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 94179
9.00 6.19886e-06 6.19886e-06 0 8.875 9.125 161320
9.25 1.51882e-06 1.51869e-05 -1.51832e-06 9.125 9.375 658405
9.50 7.12212e-05 0.000576619 2.92761e-06 9.375 9.625 2.23248e+06
9.75 0.000323721 0.00234955 7.8794e-06 9.625 9.875 4.38340e+06
10.00 0.000204421 0.00179315 8.2991e-07 9.875 10.125 4.04068e+06
10.25 6.36828e-05 0.000556093 5.38774e-06 10.125 10.375 2.65378e+06
10.50 0.000189387 0.000562941 0.000163453 10.375 10.625 1.63686e+06
10.75 0.000906871 0.00164636 0.000809826 10.625 10.875 978088
11.00 0.00379468 0.00445676 0.00309235 10.875 11.125 545237
11.25 0.0124213 0.00919318 0.00906281 11.125 11.375 299325
11.50 0.0354466 0.0150932 0.0218802 11.375 11.625 163993
11.75 0.0939807 0.0185985 0.0456717 11.625 11.875 88465
12.00 0.200899 0.0137975 0.0632173 11.875 12.125 46287
12.25 0.354928 0.00357866 0.0704903 12.125 12.375 23540
12.50 0.553503 0.0252389 0.0600573 12.375 12.625 11532
12.75 0.742481 0.0556408 0.0534752 12.625 12.875 5320
13.00 0.856314 0.0611703 0.0383356 12.875 13.125 2241
13.25 0.931585 0.031927 0.027366 13.125 13.375 877
13.50 0.969492 0.0101694 0.00338984 13.375 13.625 295
13.75 0.973684 0 0 13.625 13.875 76
14.00 1 0 0 13.875 14.125 13
14.25 1 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
