#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 27135
9.00 0 0 0 8.875 9.125 46782
9.25 3.70396e-05 1.38729e-05 2.31545e-05 9.125 9.375 215985
9.50 0.000136344 7.67148e-05 9.71396e-05 9.375 9.625 762778
9.75 0.0014749 0.000505319 0.000954724 9.625 9.875 2.05709e+06
10.00 0.002438 0.000624768 0.0016761 9.875 10.125 3.15546e+06
10.25 0.0048546 0.000991634 0.00315032 10.125 10.375 2.34911e+06
10.50 0.0117527 0.00215386 0.0056379 10.375 10.625 1.48851e+06
10.75 0.0275886 0.00439707 0.00919847 10.625 10.875 925890
11.00 0.0571857 0.0079075 0.0136423 10.875 11.125 572468
11.25 0.101503 0.00823152 0.0191734 11.125 11.375 342000
11.50 0.16885 0.00632334 0.0221914 11.375 11.625 203097
11.75 0.260489 0.00291151 0.0205833 11.625 11.875 120297
12.00 0.378328 0.00551906 0.0188979 11.875 12.125 70608
12.25 0.509111 0.01308 0.020029 12.125 12.375 41323
12.50 0.639675 0.0294582 0.020382 12.375 12.625 23995
12.75 0.750127 0.0375054 0.0190259 12.625 12.875 13795
13.00 0.842052 0.0375816 0.0186501 12.875 13.125 7838
13.25 0.891426 0.0307757 0.0134338 13.125 13.375 4292
13.50 0.932755 0.0242249 0.0102166 13.375 13.625 2305
13.75 0.954469 0.0175651 0.00879818 13.625 13.875 1186
14.00 0.966972 0.00913048 0.00189894 13.875 14.125 545
14.25 0.960474 0.00790513 0.00828308 14.125 14.375 253
14.50 0.907895 0.0394737 0 14.375 14.625 76
14.75 1 0 0 14.625 14.875 28
15.00 1 0 0 14.875 15.125 2
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
