#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 303853
9.00 0 0 0 8.875 9.125 482107
9.25 0 7.21851e-07 0 9.125 9.375 1.38558e+06
9.50 3.54271e-07 3.83977e-11 3.54271e-07 9.375 9.625 2.8227e+06
9.75 0 3.30203e-07 0 9.625 9.875 3.02921e+06
10.00 0 4.94279e-06 0 9.875 10.125 2.03731e+06
10.25 0 2.52295e-05 0 10.125 10.375 1.09719e+06
10.50 0 5.74502e-05 0 10.375 10.625 535002
10.75 4.0113e-06 0.000230795 4.0113e-06 10.625 10.875 249296
11.00 0 0.000513144 0 10.875 11.125 110499
11.25 0.000197568 0.00201555 0.000197568 11.125 11.375 45554
11.50 0.000744303 0.00640386 0.000744303 11.375 11.625 17466
11.75 0.00384102 0.0165263 0.00384102 11.625 11.875 5988
12.00 0.0191549 0.0349296 0.0191549 11.875 12.125 1775
12.25 0.04814 0.083151 0.04814 12.125 12.375 457
12.50 0.130841 0.224299 0.130841 12.375 12.625 107
12.75 0.25 0.3125 0.25 12.625 12.875 16
13.00 0.666667 0.333333 0.333333 12.875 13.125 3
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
