#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 48537
9.00 0 1.15048e-05 0 8.875 9.125 86919
9.25 4.9741e-06 1.98903e-05 -2.48497e-06 9.125 9.375 402083
9.50 0.000108721 0.000575219 7.15613e-06 9.375 9.625 1.55444e+06
9.75 0.000554042 0.00301883 2.98835e-05 9.625 9.875 3.62067e+06
10.00 0.00029302 0.00174463 -3.11264e-05 9.875 10.125 3.99631e+06
10.25 0.000198695 0.000691534 2.63504e-05 10.125 10.375 2.70264e+06
10.50 0.000742902 0.00164993 0.000443627 10.375 10.625 1.66778e+06
10.75 0.00314552 0.00428334 0.00174091 10.625 10.875 1.02113e+06
11.00 0.00999233 0.00865593 0.00461971 10.875 11.125 593155
11.25 0.0271802 0.0140519 0.0101685 11.125 11.375 337267
11.50 0.0664242 0.0182144 0.0184226 11.375 11.625 191602
11.75 0.143558 0.0122355 0.0288216 11.625 11.875 107761
12.00 0.260933 0.00853655 0.0339865 11.875 12.125 60138
12.25 0.427927 0.0074555 0.0381997 12.125 12.375 32564
12.50 0.60512 0.0228229 0.0410509 12.375 12.625 17461
12.75 0.763229 0.0369734 0.0452691 12.625 12.875 8844
13.00 0.868565 0.0325741 0.0346619 12.875 13.125 4390
13.25 0.936055 0.0219281 0.0197165 13.125 13.375 2033
13.50 0.963357 0.0058738 0.0178593 13.375 13.625 846
13.75 0.983553 0.00328946 0.00657892 13.625 13.875 304
14.00 0.95 0 0 13.875 14.125 100
14.25 0.9375 0 0 14.125 14.375 16
14.50 1 0 0 14.375 14.625 2
14.75 1 0 0 14.625 14.875 1
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
