#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 6.57527e-05 0 8.625 8.875 30417
9.00 3.9152e-05 1.95748e-05 3.9152e-05 8.875 9.125 51083
9.25 5.78431e-05 3.11312e-05 4.00525e-05 9.125 9.375 224746
9.50 0.000218347 0.000104834 0.000191828 9.375 9.625 751099
9.75 0.00213632 0.000615525 0.00172843 9.625 9.875 1.97162e+06
10.00 0.00362353 0.00111384 0.00289222 9.875 10.125 3.02798e+06
10.25 0.0071845 0.001705 0.00527632 10.125 10.375 2.29397e+06
10.50 0.0160407 0.00298622 0.00966066 10.375 10.625 1.46234e+06
10.75 0.0349761 0.00525387 0.0153471 10.625 10.875 911137
11.00 0.067565 0.00819344 0.0220036 10.875 11.125 564153
11.25 0.114885 0.0075058 0.0281345 11.125 11.375 338625
11.50 0.183607 0.00758341 0.0293593 11.375 11.625 201768
11.75 0.276077 0.00406808 0.0261523 11.625 11.875 120108
12.00 0.39305 0.00790289 0.022003 11.875 12.125 70678
12.25 0.515138 0.0244361 0.0232141 12.125 12.375 41453
12.50 0.638047 0.0455645 0.0269179 12.375 12.625 24191
12.75 0.742477 0.0589785 0.0229243 12.625 12.875 14123
13.00 0.827227 0.0582153 0.0242409 12.875 13.125 7970
13.25 0.8859 0.0484163 0.0219816 13.125 13.375 4461
13.50 0.931705 0.0318043 0.0167137 13.375 13.625 2416
13.75 0.950687 0.0330262 0.0103277 13.625 13.875 1237
14.00 0.963756 0.0247306 0.0167363 13.875 14.125 607
14.25 0.968641 0.0313589 0.0144157 14.125 14.375 287
14.50 0.969697 0.030303 0.000309229 14.375 14.625 99
14.75 0.974359 0.025641 0 14.625 14.875 39
15.00 1 0 0 14.875 15.125 3
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
