#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 142487
9.00 0 1.7019e-05 0 8.875 9.125 235031
9.25 2.26037e-06 2.26007e-05 1.13027e-06 9.125 9.375 884812
9.50 2.13315e-05 0.0003075 4.93128e-08 9.375 9.625 2.71898e+06
9.75 9.84637e-05 0.000903193 1.10175e-05 9.625 9.875 4.74286e+06
10.00 6.72686e-05 0.000780082 0 9.875 10.125 3.9097e+06
10.25 1.72968e-05 0.000248926 2.64505e-06 10.125 10.375 2.48601e+06
10.50 4.46275e-05 0.000280088 4.14575e-05 10.375 10.625 1.52372e+06
10.75 0.000301908 0.000885731 0.000297597 10.625 10.875 877751
11.00 0.00168724 0.00275303 0.0016605 10.875 11.125 475926
11.25 0.00629753 0.00683444 0.00603348 11.125 11.375 253274
11.50 0.020485 0.0144444 0.018663 11.375 11.625 132878
11.75 0.0607172 0.0222734 0.0491031 11.625 11.875 68152
12.00 0.15142 0.0302026 0.0979915 11.875 12.125 33635
12.25 0.295541 0.0205961 0.120221 12.125 12.375 15832
12.50 0.492854 0.0473579 0.104468 12.375 12.625 7067
12.75 0.698107 0.0893364 0.0945978 12.625 12.875 2852
13.00 0.854733 0.0711583 0.0693533 12.875 13.125 1067
13.25 0.941538 0.0338461 0.0369231 13.125 13.375 325
13.50 0.979381 0 0 13.375 13.625 97
13.75 1 0 0 13.625 13.875 12
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
