#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.000114508 3.81694e-05 7.63388e-05 8.625 8.875 26199
9.00 2.13908e-05 0 2.13908e-05 8.875 9.125 46749
9.25 9.07655e-06 1.36025e-05 4.53883e-06 9.125 9.375 220348
9.50 9.45155e-05 5.54073e-05 4.2529e-05 9.375 9.625 804101
9.75 0.000855282 0.000477995 0.000377154 9.625 9.875 2.20278e+06
10.00 0.0014669 0.000526084 0.00081367 9.875 10.125 3.3213e+06
10.25 0.00310775 0.000947518 0.00175842 10.125 10.375 2.41847e+06
10.50 0.0079966 0.0021125 0.00314541 10.375 10.625 1.52265e+06
10.75 0.0207588 0.0061391 0.00537075 10.625 10.875 945046
11.00 0.0464417 0.00989378 0.00915435 10.875 11.125 582192
11.25 0.0855871 0.0107273 0.0120144 11.125 11.375 345496
11.50 0.150848 0.00706412 0.016822 11.375 11.625 203907
11.75 0.243543 0.00528303 0.0173709 11.625 11.875 120217
12.00 0.364022 0.0062938 0.0200104 11.875 12.125 70320
12.25 0.499182 0.0121198 0.0212106 12.125 12.375 40947
12.50 0.635624 0.0225637 0.0199558 12.375 12.625 23462
12.75 0.755973 0.0295937 0.0182105 12.625 12.875 13478
13.00 0.846308 0.030813 0.0157746 12.875 13.125 7489
13.25 0.90118 0.0212508 0.0103611 13.125 13.375 4068
13.50 0.936941 0.0142555 0.00284374 13.375 13.625 2125
13.75 0.958491 0.00657082 0.00480437 13.625 13.875 1060
14.00 0.971545 0.00203252 0.00215697 13.875 14.125 492
14.25 0.976636 0.00467288 0.000109673 14.125 14.375 214
14.50 0.9375 0 0.00132978 14.375 14.625 48
14.75 0.947368 0 0 14.625 14.875 19
15.00 1 0 0 14.875 15.125 1
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
