#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 6.47501e-05 0 6.47501e-05 8.625 8.875 30888
9.00 0 1.79678e-05 0 8.875 9.125 55651
9.25 3.72894e-06 1.11785e-05 1.64005e-09 9.125 9.375 268173
9.50 7.19042e-05 0.000285825 -1.662e-06 9.375 9.625 1.09868e+06
9.75 0.00048575 0.00154613 -5.18846e-06 9.625 9.875 2.9789e+06
10.00 0.000377026 0.000952919 3.02162e-05 9.875 10.125 3.76366e+06
10.25 0.000601963 0.00104749 0.000255594 10.125 10.375 2.61312e+06
10.50 0.00221205 0.00269954 0.000822054 10.375 10.625 1.62247e+06
10.75 0.00743593 0.00704797 0.00222803 10.625 10.875 999337
11.00 0.0202063 0.0116511 0.00469465 10.875 11.125 600754
11.25 0.0463341 0.0159278 0.00812666 11.125 11.375 348404
11.50 0.0986246 0.015371 0.0144806 11.375 11.625 201471
11.75 0.184606 0.0137726 0.0228673 11.625 11.875 116540
12.00 0.311855 0.00756302 0.028213 11.875 12.125 66531
12.25 0.47213 0.0125257 0.0310048 12.125 12.375 37657
12.50 0.622158 0.0275198 0.0361937 12.375 12.625 20977
12.75 0.766 0.0315164 0.0375469 12.625 12.875 11406
13.00 0.869367 0.0292131 0.0323722 12.875 13.125 5925
13.25 0.918191 0.0229856 0.0186247 13.125 13.375 3007
13.50 0.954103 0.0110781 0.0114456 13.375 13.625 1438
13.75 0.976452 0.00467998 0.0031817 13.625 13.875 637
14.00 0.975309 0 0 13.875 14.125 243
14.25 0.958904 0 0 14.125 14.375 73
14.50 1 0 0 14.375 14.625 11
14.75 1 0 0 14.625 14.875 2
15.00 1 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
