#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 2.85274e-05 5.70548e-05 2.85274e-05 8.625 8.875 35054
9.00 3.52983e-05 3.52958e-05 3.52983e-05 8.875 9.125 56660
9.25 7.10014e-05 6.68035e-05 6.26516e-05 9.125 9.375 239432
9.50 0.000283288 0.00016647 0.000258203 9.375 9.625 755416
9.75 0.00264859 0.000876352 0.00226703 9.625 9.875 1.93197e+06
10.00 0.00443266 0.00151718 0.00377746 9.875 10.125 2.9612e+06
10.25 0.00869471 0.00197819 0.0068377 10.125 10.375 2.26333e+06
10.50 0.0186254 0.00367944 0.0121085 10.375 10.625 1.4469e+06
10.75 0.0390124 0.00742332 0.0198593 10.625 10.875 902380
11.00 0.0728976 0.011092 0.0275072 10.875 11.125 558935
11.25 0.120627 0.0121205 0.0331245 11.125 11.375 336443
11.50 0.189607 0.0122152 0.0327307 11.375 11.625 200858
11.75 0.281734 0.00868639 0.0267351 11.625 11.875 119783
12.00 0.39259 0.0147932 0.018243 11.875 12.125 70501
12.25 0.506768 0.0349783 0.0180443 12.125 12.375 41522
12.50 0.627005 0.0634257 0.0192182 12.375 12.625 24314
12.75 0.734734 0.0781842 0.0198725 12.625 12.875 14280
13.00 0.81859 0.0739663 0.0165679 12.875 13.125 8026
13.25 0.866989 0.0719878 0.0123104 13.125 13.375 4556
13.50 0.912649 0.0536613 0.00281996 13.375 13.625 2427
13.75 0.933488 0.0510441 0.0010981 13.625 13.875 1293
14.00 0.941363 0.0474191 -0.00254732 13.875 14.125 631
14.25 0.950658 0.0459976 -0.00600874 14.125 14.375 304
14.50 0.964286 0.0357143 0 14.375 14.625 112
14.75 0.860465 0.139535 -0.0465117 14.625 14.875 43
15.00 1 0 0 14.875 15.125 5
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
