#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 7.01508e-05 0 8.625 8.875 28510
9.00 2.00566e-05 2.00566e-05 8.03993e-10 8.875 9.125 49859
9.25 8.34662e-06 1.25071e-05 4.17561e-06 9.125 9.375 239618
9.50 6.5779e-05 0.000140286 1.11873e-05 9.375 9.625 912145
9.75 0.000528383 0.000914089 8.6107e-05 9.625 9.875 2.55118e+06
10.00 0.000654985 0.000667617 0.000218811 9.875 10.125 3.5497e+06
10.25 0.00136109 0.00111886 0.000699525 10.125 10.375 2.52224e+06
10.50 0.00407048 0.00292981 0.00141865 10.375 10.625 1.575e+06
10.75 0.0126301 0.00708715 0.00318799 10.625 10.875 973071
11.00 0.0305148 0.0112074 0.00533178 10.875 11.125 593942
11.25 0.0639446 0.0132675 0.0082735 11.125 11.375 347801
11.50 0.122526 0.0119667 0.0132586 11.375 11.625 204104
11.75 0.215997 0.0111268 0.0183406 11.625 11.875 118761
12.00 0.337352 0.00694495 0.022883 11.875 12.125 69088
12.25 0.485473 0.0128652 0.0279929 12.125 12.375 39718
12.50 0.634963 0.0219898 0.0283351 12.375 12.625 22332
12.75 0.763548 0.0273604 0.0295442 12.625 12.875 12548
13.00 0.852251 0.0293007 0.023375 12.875 13.125 6863
13.25 0.913007 0.0192111 0.0162308 13.125 13.375 3552
13.50 0.948732 0.00960124 0.0110929 13.375 13.625 1814
13.75 0.961982 0.00568587 0.00249088 13.625 13.875 868
14.00 0.980447 0 0.00291884 13.875 14.125 358
14.25 0.985294 0 0 14.125 14.375 136
14.50 1 0 0 14.375 14.625 35
14.75 1 0 0 14.625 14.875 5
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
