#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.08352e-05 0 8.625 8.875 64860
9.00 8.74745e-06 8.7473e-06 1.53705e-10 8.875 9.125 114319
9.25 5.95933e-06 1.39049e-05 1.34924e-09 9.125 9.375 503412
9.50 9.60776e-05 0.000686964 1.00291e-05 9.375 9.625 1.84226e+06
9.75 0.00050471 0.00302795 2.29553e-05 9.625 9.875 3.9706e+06
10.00 0.000291425 0.00195536 -1.37482e-05 9.875 10.125 4.05593e+06
10.25 0.000118941 0.000585713 3.51887e-06 10.125 10.375 2.70724e+06
10.50 0.000451801 0.00113786 0.000326187 10.375 10.625 1.66888e+06
10.75 0.00184594 0.00312701 0.0013837 10.625 10.875 1.01412e+06
11.00 0.00645478 0.00669502 0.00399941 10.875 11.125 578796
11.25 0.0197056 0.0120537 0.0100688 11.125 11.375 324273
11.50 0.0525443 0.0172755 0.021463 11.375 11.625 181580
11.75 0.120164 0.0157403 0.0355012 11.625 11.875 100504
12.00 0.234406 0.0080173 0.0445388 11.875 12.125 54734
12.25 0.402219 0.00442898 0.0479553 12.125 12.375 28937
12.50 0.588247 0.0221364 0.0449352 12.375 12.625 15009
12.75 0.757851 0.040906 0.0500855 12.625 12.875 7388
13.00 0.869058 0.0446949 0.033733 12.875 13.125 3429
13.25 0.929355 0.0253773 0.0233196 13.125 13.375 1458
13.50 0.969589 0.00362569 0.0108072 13.375 13.625 559
13.75 0.974747 0.00505048 0.00012821 13.625 13.875 198
14.00 0.975 0 0 13.875 14.125 40
14.25 1 0 0 14.125 14.375 5
14.50 1 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
