#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 36075
9.00 0 1.52982e-05 0 8.875 9.125 65366
9.25 6.38335e-06 1.59519e-05 3.1925e-06 9.125 9.375 313315
9.50 9.94289e-05 0.000424089 -1.47733e-06 9.375 9.625 1.2773e+06
9.75 0.00052474 0.00228435 -1.37021e-07 9.625 9.875 3.25114e+06
10.00 0.000328055 0.00131616 -1.88967e-05 9.875 10.125 3.8774e+06
10.25 0.000354386 0.000869059 0.000109225 10.125 10.375 2.66094e+06
10.50 0.00145069 0.0024491 0.000613679 10.375 10.625 1.6468e+06
10.75 0.0052319 0.00599622 0.00191399 10.625 10.875 1.01206e+06
11.00 0.0149165 0.0107124 0.00437124 10.875 11.125 600008
11.25 0.0370679 0.0162493 0.0084958 11.125 11.375 345582
11.50 0.0852678 0.0181444 0.0173467 11.375 11.625 198680
11.75 0.166439 0.0136408 0.0247332 11.625 11.875 113381
12.00 0.293533 0.00716949 0.0303869 11.875 12.125 64388
12.25 0.448917 0.0109737 0.0337065 12.125 12.375 35795
12.50 0.619906 0.0295177 0.0392281 12.375 12.625 19703
12.75 0.762301 0.0357893 0.0371776 12.625 12.875 10345
13.00 0.868048 0.031445 0.0340939 12.875 13.125 5358
13.25 0.922338 0.0196747 0.0203391 13.125 13.375 2601
13.50 0.963621 0.00676823 0.0135363 13.375 13.625 1182
13.75 0.964583 0.0041014 0.010132 13.625 13.875 480
14.00 0.96648 0 0.0111732 13.875 14.125 179
14.25 1 0 0 14.125 14.375 41
14.50 1 0 0 14.375 14.625 7
14.75 1 0 0 14.625 14.875 2
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
