#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 3.18319e-05 0 1.015e-09 8.625 8.875 31415
9.00 0 1.76985e-05 0 8.875 9.125 56502
9.25 7.35027e-06 1.10163e-05 3.48336e-09 9.125 9.375 272099
9.50 8.15542e-05 0.000295077 -3.07935e-06 9.375 9.625 1.11582e+06
9.75 0.000491644 0.00162198 -4.5441e-06 9.625 9.875 3.00827e+06
10.00 0.000362444 0.000991433 2.17916e-05 9.875 10.125 3.77713e+06
10.25 0.000565162 0.0010576 0.000241849 10.125 10.375 2.61872e+06
10.50 0.00219829 0.00259806 0.000888345 10.375 10.625 1.62536e+06
10.75 0.00720209 0.0068126 0.00210658 10.625 10.875 1.00082e+06
11.00 0.0196379 0.0115763 0.00484706 10.875 11.125 600674
11.25 0.0457301 0.0156727 0.00850579 11.125 11.375 348239
11.50 0.0972845 0.015282 0.014625 11.375 11.625 201286
11.75 0.183636 0.0131246 0.0230771 11.625 11.875 116230
12.00 0.310579 0.00830901 0.027236 11.875 12.125 66347
12.25 0.466903 0.0135271 0.0288559 12.125 12.375 37466
12.50 0.626492 0.0258617 0.0355207 12.375 12.625 20859
12.75 0.771907 0.030071 0.0389209 12.625 12.875 11298
13.00 0.866485 0.0258826 0.0316195 12.875 13.125 5872
13.25 0.924248 0.0188419 0.0219663 13.125 13.375 2957
13.50 0.944563 0.0161514 0.00568587 13.375 13.625 1407
13.75 0.976077 0.0111235 0.0094099 13.625 13.875 627
14.00 0.983051 0 0.00423723 13.875 14.125 236
14.25 0.957143 0 0.0142857 14.125 14.375 70
14.50 1 0 0 14.375 14.625 11
14.75 1 0 0 14.625 14.875 2
15.00 1 0 0 14.875 15.125 1
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
