#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 4.99313e-05 0.000299579 4.99313e-05 8.625 8.875 40055
9.00 0.000109051 0.000794432 0.000109051 8.875 9.125 64190
9.25 0.00022297 0.00131 0.000215286 9.125 9.375 260125
9.50 0.000615635 0.00239151 0.000598588 9.375 9.625 758566
9.75 0.00461076 0.00931792 0.00431016 9.625 9.875 1.83983e+06
10.00 0.00730587 0.0103103 0.00677554 9.875 10.125 2.81678e+06
10.25 0.0136673 0.0131262 0.0118134 10.125 10.375 2.19151e+06
10.50 0.0263554 0.014756 0.0201849 10.375 10.625 1.40965e+06
10.75 0.0506795 0.019215 0.0314576 10.625 10.875 881876
11.00 0.088454 0.0253804 0.0415687 10.875 11.125 545730
11.25 0.140644 0.0273323 0.0496792 11.125 11.375 330828
11.50 0.211506 0.0256629 0.0475178 11.375 11.625 198524
11.75 0.298905 0.0205301 0.0340299 11.625 11.875 118603
12.00 0.403484 0.0304982 0.016517 11.875 12.125 70258
12.25 0.507352 0.0681043 0.0159617 12.125 12.375 41417
12.50 0.610896 0.0984651 0.0147381 12.375 12.625 24523
12.75 0.711387 0.116394 0.00976747 12.625 12.875 14393
13.00 0.797771 0.10884 0.00680262 12.875 13.125 8253
13.25 0.843683 0.101859 0 13.125 13.375 4638
13.50 0.890239 0.0850259 -0.00326842 13.375 13.625 2551
13.75 0.914245 0.070152 -0.0111279 13.625 13.875 1411
14.00 0.906158 0.0777598 -0.0182861 13.875 14.125 682
14.25 0.940171 0.0539811 -0.0084005 14.125 14.375 351
14.50 0.93985 0.0601504 -0.0143489 14.375 14.625 133
14.75 0.966667 0.0333334 -0.0166667 14.625 14.875 60
15.00 0.857143 0.142857 0 14.875 15.125 7
15.25 1 0 0 15.125 15.375 2
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
