#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 7.26771e-06 0 8.625 8.875 137595
9.00 0 8.78696e-06 0 8.875 9.125 227609
9.25 6.95156e-06 2.54851e-05 3.47621e-06 9.125 9.375 863115
9.50 2.69314e-05 0.000339568 2.26116e-06 9.375 9.625 2.67346e+06
9.75 0.000111844 0.00107772 7.35963e-06 9.625 9.875 4.72088e+06
10.00 8.32909e-05 0.000833319 -2.08693e-06 9.875 10.125 3.926e+06
10.25 2.2331e-05 0.000280118 3.92387e-06 10.125 10.375 2.50772e+06
10.50 6.69337e-05 0.000285717 6.39214e-05 10.375 10.625 1.53884e+06
10.75 0.000351569 0.000864467 0.000347437 10.625 10.875 890294
11.00 0.00186092 0.00278721 0.00183129 10.875 11.125 484168
11.25 0.00677984 0.00766035 0.00645138 11.125 11.375 258413
11.50 0.0219276 0.0134933 0.0197284 11.375 11.625 136358
11.75 0.0643723 0.0225048 0.0500161 11.625 11.875 70201
12.00 0.153428 0.0305162 0.0919648 11.875 12.125 34935
12.25 0.302282 0.0174073 0.112532 12.125 12.375 16564
12.50 0.500066 0.0441486 0.0993238 12.375 12.625 7531
12.75 0.698206 0.0916803 0.0823439 12.625 12.875 3065
13.00 0.838569 0.0854486 0.061082 12.875 13.125 1146
13.25 0.948087 0.0245901 0.0138409 13.125 13.375 366
13.50 0.962264 0.0188679 0 13.375 13.625 106
13.75 1 0 0 13.625 13.875 19
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
