#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 56842
9.00 9.92595e-06 9.92595e-06 0 8.875 9.125 100746
9.25 4.40282e-06 1.32057e-05 -2.20019e-06 9.125 9.375 454254
9.50 0.00010489 0.000643988 5.00585e-06 9.375 9.625 1.70656e+06
9.75 0.000552291 0.00305056 2.9798e-05 9.625 9.875 3.80959e+06
10.00 0.000292538 0.0018768 -1.82307e-05 9.875 10.125 4.03709e+06
10.25 0.000145427 0.000636625 1.50627e-05 10.125 10.375 2.70925e+06
10.50 0.000550525 0.00136004 0.000355938 10.375 10.625 1.67113e+06
10.75 0.00227977 0.00370686 0.00150583 10.625 10.875 1.0194e+06
11.00 0.00756644 0.00748335 0.00418378 10.875 11.125 586009
11.25 0.022445 0.0130761 0.0102443 11.125 11.375 331210
11.50 0.0588131 0.0183339 0.0205855 11.375 11.625 186540
11.75 0.131486 0.0134766 0.0311188 11.625 11.875 104262
12.00 0.249424 0.00805257 0.0435262 11.875 12.125 57264
12.25 0.415434 0.00466555 0.0453455 12.125 12.375 30816
12.50 0.598842 0.0210408 0.044278 12.375 12.625 16061
12.75 0.745282 0.0443669 0.0389649 12.625 12.875 8107
13.00 0.865835 0.043564 0.0352421 12.875 13.125 3846
13.25 0.939146 0.0192852 0.0275015 13.125 13.375 1709
13.50 0.969697 0.00865799 0.00432903 13.375 13.625 693
13.75 0.97619 0 0.00806296 13.625 13.875 252
14.00 0.983051 0 0 13.875 14.125 59
14.25 1 0 0 14.125 14.375 11
14.50 1 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
