#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 98183
9.00 1.19736e-05 5.9867e-06 7.18501e-11 8.875 9.125 167034
9.25 2.95613e-06 1.62565e-05 -1.47729e-06 9.125 9.375 676561
9.50 7.07694e-05 0.000597356 1.91518e-06 9.375 9.625 2.27499e+06
9.75 0.000285326 0.00217804 5.96631e-06 9.625 9.875 4.42301e+06
10.00 0.000194069 0.00164864 6.33037e-07 9.875 10.125 4.03464e+06
10.25 5.82475e-05 0.000540439 5.82594e-06 10.125 10.375 2.64389e+06
10.50 0.00017846 0.000569704 0.000152593 10.375 10.625 1.63062e+06
10.75 0.000866063 0.00169269 0.000793934 10.625 10.875 972216
11.00 0.00351106 0.00436056 0.00293148 10.875 11.125 540293
11.25 0.011961 0.00931251 0.00892026 11.125 11.375 296297
11.50 0.0343086 0.014633 0.0224856 11.375 11.625 161767
11.75 0.090198 0.0190327 0.0445167 11.625 11.875 86931
12.00 0.194198 0.014451 0.0644168 11.875 12.125 45258
12.25 0.346682 0.00632271 0.0732946 12.125 12.375 22949
12.50 0.547831 0.0246863 0.0645733 12.375 12.625 11133
12.75 0.726474 0.0728629 0.0443005 12.625 12.875 5122
13.00 0.857815 0.0612053 0.0412195 12.875 13.125 2124
13.25 0.92734 0.0307882 0.0246305 13.125 13.375 812
13.50 0.952727 0.0180756 0.0074718 13.375 13.625 275
13.75 0.986111 0 0 13.625 13.875 72
14.00 1 0 0 13.875 14.125 7
14.25 1 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
