#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 293416
9.00 0 0 0 8.875 9.125 428593
9.25 0 0 0 9.125 9.375 1.0848e+06
9.50 0 5.08517e-07 0 9.375 9.625 1.96543e+06
9.75 0 0 0 9.625 9.875 1.88829e+06
10.00 0 2.61038e-06 0 9.875 10.125 1.15627e+06
10.25 0 6.95004e-06 0 10.125 10.375 582094
10.50 0 1.57059e-05 0 10.375 10.625 257150
10.75 0 7.34558e-05 0 10.625 10.875 108591
11.00 0 0.000377021 0 10.875 11.125 42323
11.25 0 0.00112934 0 11.125 11.375 15040
11.50 0.000213767 0.00256401 0.000213767 11.375 11.625 4678
11.75 0.00313725 0.0101961 0.00313725 11.625 11.875 1275
12.00 0 0.0305085 0 11.875 12.125 295
12.25 0 0.0869565 0 12.125 12.375 46
12.50 0.285714 0.142857 0.285714 12.375 12.625 7
12.75 0 0 0 12.625 12.875 2
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
