#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 5.94806e-06 0 8.625 8.875 168122
9.00 0 0 0 8.875 9.125 274208
9.25 1.00701e-06 2.21529e-05 1.00385e-10 9.125 9.375 993040
9.50 1.18925e-05 0.000142208 2.7331e-06 9.375 9.625 2.94303e+06
9.75 3.8447e-05 0.00035207 5.36962e-06 9.625 9.875 4.81181e+06
10.00 3.05343e-05 0.00028446 2.44094e-06 9.875 10.125 3.799e+06
10.25 8.03401e-06 0.000115582 4.22887e-06 10.125 10.375 2.36495e+06
10.50 3.01041e-05 0.000167668 2.94404e-05 10.375 10.625 1.42838e+06
10.75 0.000170779 0.000699142 0.000168389 10.625 10.875 802208
11.00 0.000920548 0.00228943 0.000918297 10.875 11.125 428006
11.25 0.00411171 0.00562821 0.00408959 11.125 11.375 223508
11.50 0.0143681 0.0130495 0.0140299 11.375 11.625 113585
11.75 0.0472407 0.0221057 0.0438221 11.625 11.875 56265
12.00 0.121787 0.0351391 0.100311 11.875 12.125 26924
12.25 0.258737 0.0303443 0.147644 12.125 12.375 11904
12.50 0.456361 0.0598837 0.137318 12.375 12.625 5007
12.75 0.6283 0.135692 0.115114 12.625 12.875 1894
13.00 0.814216 0.119548 0.0743134 12.875 13.125 619
13.25 0.923977 0.0409357 0.0350877 13.125 13.375 171
13.50 0.972222 0 0 13.375 13.625 36
13.75 1 0 0 13.625 13.875 2
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
