#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 31043
9.00 1.92779e-05 3.85557e-05 1.92779e-05 8.875 9.125 51873
9.25 6.60781e-05 3.96017e-05 5.28681e-05 9.125 9.375 227004
9.50 0.00024764 0.000118094 0.000218427 9.375 9.625 751090
9.75 0.0022231 0.000639075 0.00182131 9.625 9.875 1.96302e+06
10.00 0.00377989 0.00117594 0.00305983 9.875 10.125 3.01385e+06
10.25 0.00751048 0.00171015 0.00562224 10.125 10.375 2.28787e+06
10.50 0.0165933 0.0032075 0.0101409 10.375 10.625 1.45902e+06
10.75 0.0359171 0.0056783 0.0165224 10.625 10.875 909317
11.00 0.0690266 0.00850029 0.0234546 10.875 11.125 563131
11.25 0.116576 0.00791601 0.0290838 11.125 11.375 338304
11.50 0.185306 0.00820147 0.0301442 11.375 11.625 201559
11.75 0.278116 0.00401273 0.026935 11.625 11.875 120083
12.00 0.394297 0.00818849 0.0216364 11.875 12.125 70660
12.25 0.51499 0.0245267 0.0238466 12.125 12.375 41461
12.50 0.638268 0.043866 0.0296025 12.375 12.625 24250
12.75 0.740882 0.0590619 0.0270171 12.625 12.875 14175
13.00 0.829862 0.057332 0.0252279 12.875 13.125 7970
13.25 0.88369 0.0537409 0.0200935 13.125 13.375 4488
13.50 0.932343 0.0338786 0.0189216 13.375 13.625 2424
13.75 0.950281 0.030504 0.0184625 13.625 13.875 1247
14.00 0.962418 0.0294117 0.0134892 13.875 14.125 612
14.25 0.975945 0.0205828 0.0105471 14.125 14.375 291
14.50 0.980198 0.019802 0.010198 14.375 14.625 101
14.75 0.974359 0.025641 0 14.625 14.875 39
15.00 1 0 0 14.875 15.125 3
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
