#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 3.18476e-05 0 8.625 8.875 62799
9.00 2.71103e-05 1.80723e-05 7.34872e-10 8.875 9.125 110659
9.25 1.22395e-05 1.01959e-05 4.08192e-06 9.125 9.375 490215
9.50 8.85539e-05 0.000675408 4.57564e-06 9.375 9.625 1.80681e+06
9.75 0.000537605 0.00310933 2.22665e-05 9.625 9.875 3.9304e+06
10.00 0.000299369 0.00195529 -1.55474e-05 9.875 10.125 4.05185e+06
10.25 0.000121103 0.000583411 5.98704e-06 10.125 10.375 2.70845e+06
10.50 0.000475928 0.00119452 0.000335609 10.375 10.625 1.67042e+06
10.75 0.00199149 0.00324889 0.00146811 10.625 10.875 1.01582e+06
11.00 0.00666418 0.00701467 0.00397543 10.875 11.125 580567
11.25 0.0200396 0.0126743 0.00976659 11.125 11.375 326104
11.50 0.0533056 0.0168936 0.0209326 11.375 11.625 183020
11.75 0.12287 0.0150977 0.0334054 11.625 11.875 101481
12.00 0.237176 0.00818136 0.0431536 11.875 12.125 55364
12.25 0.40659 0.00230154 0.0493725 12.125 12.375 29408
12.50 0.589926 0.0214236 0.0454659 12.375 12.625 15307
12.75 0.754603 0.0438743 0.0481052 12.625 12.875 7604
13.00 0.873039 0.0400669 0.0359022 12.875 13.125 3505
13.25 0.932237 0.025 0.0256579 13.125 13.375 1520
13.50 0.971284 0.00848013 0.00832081 13.375 13.625 592
13.75 0.977169 0.00456619 0 13.625 13.875 219
14.00 1 0 0.0238096 13.875 14.125 42
14.25 1 0 0 14.125 14.375 7
14.50 1 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
