#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 4.0025e-06 0 8.625 8.875 249840
9.00 0 0 0 8.875 9.125 400630
9.25 0 0 0 9.125 9.375 1.30327e+06
9.50 0 4.18525e-06 0 9.375 9.625 3.34161e+06
9.75 4.77133e-07 9.5156e-06 2.38869e-07 9.625 9.875 4.1917e+06
10.00 3.32114e-07 9.25076e-06 3.32114e-07 9.875 10.125 3.01102e+06
10.25 1.15651e-06 1.07798e-05 1.15651e-06 10.125 10.375 1.72935e+06
10.50 1.0736e-06 7.55703e-05 1.0736e-06 10.375 10.625 931445
10.75 6.3804e-06 0.000291285 6.3804e-06 10.625 10.875 470190
11.00 0.00010408 0.000902172 0.00010408 10.875 11.125 230591
11.25 0.000653144 0.00269452 0.000653144 11.125 11.375 107174
11.50 0.00312658 0.00665424 0.00312658 11.375 11.625 47336
11.75 0.01314 0.022944 0.01314 11.625 11.875 19863
12.00 0.0460604 0.0407066 0.0460604 11.875 12.125 7577
12.25 0.124433 0.0755673 0.124433 12.125 12.375 2644
12.50 0.303476 0.0828877 0.282086 12.375 12.625 748
12.75 0.489796 0.188775 0.255102 12.625 12.875 196
13.00 0.74359 0.205128 0.307692 12.875 13.125 39
13.25 1 0 0.25 13.125 13.375 4
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
