#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 60455
9.00 1.86119e-05 0 1.72804e-10 8.875 9.125 107458
9.25 6.28379e-06 8.37562e-06 2.09572e-06 9.125 9.375 477419
9.50 9.87121e-05 0.000673709 3.67523e-06 9.375 9.625 1.77283e+06
9.75 0.00054648 0.00307718 2.60606e-05 9.625 9.875 3.89035e+06
10.00 0.000298709 0.00190815 -1.40545e-05 9.875 10.125 4.04741e+06
10.25 0.000116656 0.000623775 5.74507e-06 10.125 10.375 2.70881e+06
10.50 0.00050142 0.00127483 0.000342239 10.375 10.625 1.67125e+06
10.75 0.00207608 0.00328269 0.00146445 10.625 10.875 1.0173e+06
11.00 0.00702054 0.00703998 0.00408755 10.875 11.125 582434
11.25 0.0205603 0.0128445 0.00976367 11.125 11.375 328011
11.50 0.0551068 0.0180704 0.0208665 11.375 11.625 184097
11.75 0.125207 0.0136088 0.0332384 11.625 11.875 102462
12.00 0.242338 0.00662482 0.0442526 11.875 12.125 56021
12.25 0.40892 0.00345618 0.0482043 12.125 12.375 29864
12.50 0.596501 0.0209051 0.0456371 12.375 12.625 15606
12.75 0.756069 0.0439049 0.049897 12.625 12.875 7744
13.00 0.872757 0.0332255 0.0380443 12.875 13.125 3623
13.25 0.929791 0.0251865 0.0265655 13.125 13.375 1581
13.50 0.974235 0.00805151 0.00483096 13.375 13.625 621
13.75 0.982759 0.00431031 0 13.625 13.875 232
14.00 1 0 0 13.875 14.125 51
14.25 1 0 0 14.125 14.375 8
14.50 1 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
