#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 312056
9.00 0 0 0 8.875 9.125 488531
9.25 0 0 0 9.125 9.375 1.3602e+06
9.50 0 3.73938e-07 0 9.375 9.625 2.67421e+06
9.75 0 1.42531e-06 0 9.625 9.875 2.80088e+06
10.00 0 2.17145e-06 0 9.875 10.125 1.85472e+06
10.25 0 7.17266e-06 0 10.125 10.375 991756
10.50 0 4.37722e-05 0 10.375 10.625 476276
10.75 4.58016e-06 0.000218359 4.58016e-06 10.625 10.875 218333
11.00 0 0.000589306 0 10.875 11.125 94602
11.25 7.85073e-05 0.00164392 7.85073e-05 11.125 11.375 38213
11.50 0.000352908 0.00712083 0.000352908 11.375 11.625 14168
11.75 0.00390117 0.0175506 0.00390117 11.625 11.875 4614
12.00 0.0162242 0.0317109 0.0162242 11.875 12.125 1356
12.25 0.0286624 0.0732484 0.0286624 12.125 12.375 314
12.50 0.147059 0.205882 0.147059 12.375 12.625 68
12.75 0.5 0.1 0.5 12.625 12.875 10
13.00 1 0 1 12.875 13.125 1
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
