#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 27674
9.00 0 2.04712e-05 0 8.875 9.125 48846
9.25 4.34664e-06 8.68681e-06 4.34664e-06 9.125 9.375 230063
9.50 8.43458e-05 9.06965e-05 3.39525e-05 9.375 9.625 853629
9.75 0.000594407 0.000665076 0.00015431 9.625 9.875 2.36202e+06
10.00 0.00094091 0.000583238 0.000414462 9.875 10.125 3.4371e+06
10.25 0.00203903 0.00108271 0.00103952 10.125 10.375 2.4703e+06
10.50 0.00576899 0.00315524 0.0019923 10.375 10.625 1.54862e+06
10.75 0.0163788 0.00746999 0.00355359 10.625 10.875 959108
11.00 0.0376679 0.0108802 0.00631952 10.875 11.125 588485
11.25 0.0739974 0.0119603 0.00878584 11.125 11.375 345985
11.50 0.134452 0.0084832 0.0129689 11.375 11.625 204169
11.75 0.227357 0.00680517 0.0169463 11.625 11.875 119398
12.00 0.351343 0.00609165 0.0205007 11.875 12.125 69704
12.25 0.492727 0.0145234 0.0238287 12.125 12.375 40422
12.50 0.635945 0.0218281 0.0230672 12.375 12.625 22807
12.75 0.760338 0.0277303 0.0244928 12.625 12.875 13035
13.00 0.85131 0.0251064 0.0165062 12.875 13.125 7250
13.25 0.906831 0.0202226 0.0107884 13.125 13.375 3821
13.50 0.939611 0.0139129 0.00668734 13.375 13.625 1954
13.75 0.954592 0.00503498 0.00245917 13.625 13.875 969
14.00 0.969555 0 0.0049324 13.875 14.125 427
14.25 0.976744 0 0.000273585 14.125 14.375 172
14.50 0.948718 0 0.00277203 14.375 14.625 39
14.75 1 0 0 14.625 14.875 10
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
