#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 28115
9.00 2.01658e-05 0 8.13088e-10 8.875 9.125 49589
9.25 4.25733e-06 8.50977e-06 2.19188e-09 9.125 9.375 234889
9.50 6.22211e-05 0.000122391 1.0389e-05 9.375 9.625 883945
9.75 0.000559593 0.000749193 0.000118066 9.625 9.875 2.4625e+06
10.00 0.000772853 0.000622909 0.000306083 9.875 10.125 3.49873e+06
10.25 0.0017042 0.00122477 0.000828823 10.125 10.375 2.49912e+06
10.50 0.00485889 0.00297752 0.00176107 10.375 10.625 1.56373e+06
10.75 0.0141102 0.00715359 0.00328843 10.625 10.875 966466
11.00 0.0335204 0.0113697 0.0060064 10.875 11.125 591700
11.25 0.0683389 0.0128215 0.00844561 11.125 11.375 346991
11.50 0.128283 0.0107819 0.0130401 11.375 11.625 204298
11.75 0.221482 0.0103483 0.0181321 11.625 11.875 118962
12.00 0.345332 0.0067547 0.0204626 11.875 12.125 69394
12.25 0.490475 0.0141037 0.0231777 12.125 12.375 40053
12.50 0.63801 0.0227056 0.0251673 12.375 12.625 22636
12.75 0.758147 0.028713 0.0238215 12.625 12.875 12735
13.00 0.850928 0.0269248 0.0171949 12.875 13.125 7057
13.25 0.915554 0.0149444 0.012647 13.125 13.375 3671
13.50 0.93896 0.0111465 0.00697243 13.375 13.625 1884
13.75 0.966304 0.00421965 0.0045557 13.625 13.875 920
14.00 0.971204 0.00261784 0.00278312 13.875 14.125 382
14.25 0.987421 0.00624949 7.96318e-05 14.125 14.375 159
14.50 0.935484 0 0.00215054 14.375 14.625 31
14.75 1 0 0 14.625 14.875 9
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
