#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 1.28593e-05 1.28593e-05 0 8.625 8.875 77765
9.00 0 7.34462e-06 0 8.875 9.125 136150
9.25 1.74182e-06 2.43791e-05 3.85285e-10 9.125 9.375 574113
9.50 8.18406e-05 0.000661375 2.18801e-06 9.375 9.625 2.02833e+06
9.75 0.000434245 0.00280635 2.06942e-05 9.625 9.875 4.17737e+06
10.00 0.000249002 0.00195307 -8.7863e-06 9.875 10.125 4.06021e+06
10.25 9.36606e-05 0.000605705 3.21243e-06 10.125 10.375 2.69057e+06
10.50 0.000311684 0.000944695 0.000250261 10.375 10.625 1.65873e+06
10.75 0.00131263 0.00259634 0.00109008 10.625 10.875 1.00104e+06
11.00 0.00496422 0.00550276 0.00362125 10.875 11.125 564640
11.25 0.0157195 0.0107775 0.00934414 11.125 11.375 313114
11.50 0.0440015 0.015807 0.0217775 11.375 11.625 173994
11.75 0.105557 0.0188575 0.039673 11.625 11.875 95171
12.00 0.218209 0.0116657 0.053625 11.875 12.125 50919
12.25 0.379027 0.00262848 0.0626024 12.125 12.375 26386
12.50 0.571695 0.0209886 0.0575868 12.375 12.625 13411
12.75 0.742002 0.0432851 0.0513869 12.625 12.875 6345
13.00 0.86497 0.0598181 0.0345213 12.875 13.125 2829
13.25 0.936371 0.0232158 0.0154772 13.125 13.375 1163
13.50 0.962529 0.0071677 0.00243539 13.375 13.625 427
13.75 0.96875 0 0 13.625 13.875 128
14.00 0.954545 0 0 13.875 14.125 22
14.25 1 0 0 14.125 14.375 3
14.50 1 0 0 14.375 14.625 1
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
