#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 128037
9.00 9.39188e-06 9.3917e-06 8.8221e-11 8.875 9.125 212950
9.25 8.53929e-06 2.43955e-05 2.44065e-06 9.125 9.375 819740
9.50 3.29088e-05 0.000414616 1.99147e-06 9.375 9.625 2.5829e+06
9.75 0.000143992 0.0013361 1.22032e-05 9.625 9.875 4.66692e+06
10.00 0.000100057 0.000948691 -6.81549e-06 9.875 10.125 3.95775e+06
10.25 2.71089e-05 0.000359498 1.33913e-06 10.125 10.375 2.54528e+06
10.50 7.3435e-05 0.000327053 6.44771e-05 10.375 10.625 1.56601e+06
10.75 0.000450167 0.0010475 0.000441121 10.625 10.875 912994
11.00 0.00211768 0.00289454 0.00204336 10.875 11.125 499130
11.25 0.00771302 0.00789877 0.00712126 11.125 11.375 268118
11.50 0.0247347 0.0142989 0.0207732 11.375 11.625 142876
11.75 0.0699263 0.0227516 0.0509713 11.625 11.875 74507
12.00 0.162355 0.0242081 0.0868437 11.875 12.125 37498
12.25 0.316208 0.0128216 0.105416 12.125 12.375 18102
12.50 0.51028 0.0395822 0.0882607 12.375 12.625 8317
12.75 0.711136 0.0850763 0.0749522 12.625 12.875 3538
13.00 0.83915 0.091047 0.033384 12.875 13.125 1318
13.25 0.934498 0.0393013 0.0218341 13.125 13.375 458
13.50 0.954887 0.0150376 0.00751877 13.375 13.625 133
13.75 0.954545 0 0 13.625 13.875 22
14.00 1 0 0 13.875 14.125 2
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
