#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 109507
9.00 0 1.07816e-05 0 8.875 9.125 185499
9.25 2.71824e-06 2.44641e-05 1.35902e-06 9.125 9.375 735771
9.50 5.53087e-05 0.000538804 3.02212e-06 9.375 9.625 2.40468e+06
9.75 0.000222455 0.00180807 4.9521e-06 9.625 9.875 4.53576e+06
10.00 0.000162906 0.00133243 -3.19294e-06 9.875 10.125 4.00844e+06
10.25 4.48648e-05 0.000517371 1.69934e-06 10.125 10.375 2.60784e+06
10.50 0.000136247 0.000486524 0.000121947 10.375 10.625 1.60738e+06
10.75 0.000687874 0.00145427 0.000657489 10.625 10.875 950755
11.00 0.00269037 0.00379012 0.00241836 10.875 11.125 524835
11.25 0.00987716 0.00818776 0.00801259 11.125 11.375 285406
11.50 0.0300972 0.0141762 0.0217205 11.375 11.625 154134
11.75 0.0806477 0.0197242 0.0479844 11.625 11.875 82073
12.00 0.179437 0.0175237 0.0742164 11.875 12.125 42232
12.25 0.335765 0.0112132 0.083638 12.125 12.375 20973
12.50 0.53455 0.0297241 0.0727193 12.375 12.625 9971
12.75 0.736878 0.0656784 0.0578009 12.625 12.875 4382
13.00 0.852811 0.0683572 0.045204 12.875 13.125 1814
13.25 0.927019 0.0310559 0.0232919 13.125 13.375 644
13.50 0.960976 0.0195122 0.00975609 13.375 13.625 205
13.75 0.979167 0 0 13.625 13.875 48
14.00 1 0 0 13.875 14.125 5
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
