#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 27152
9.00 0 2.0588e-05 0 8.875 9.125 48567
9.25 4.35905e-06 1.30671e-05 4.35905e-06 9.125 9.375 229408
9.50 7.1959e-05 0.000102991 2.38193e-05 9.375 9.625 847705
9.75 0.000634472 0.000637303 0.000188974 9.625 9.875 2.3421e+06
10.00 0.00100593 0.000604264 0.000472409 9.875 10.125 3.42371e+06
10.25 0.00212432 0.00112054 0.00108796 10.125 10.375 2.46432e+06
10.50 0.00594023 0.00302103 0.00209261 10.375 10.625 1.54556e+06
10.75 0.0164672 0.0074588 0.00353057 10.625 10.875 957357
11.00 0.0386793 0.010886 0.00678485 10.875 11.125 587627
11.25 0.0755243 0.0116049 0.00909632 11.125 11.375 345902
11.50 0.135326 0.00866742 0.0127334 11.375 11.625 204011
11.75 0.229021 0.00750439 0.01568 11.625 11.875 119487
12.00 0.351053 0.00727409 0.0191164 11.875 12.125 69733
12.25 0.494758 0.0138113 0.0246372 12.125 12.375 40446
12.50 0.634208 0.0219657 0.0235891 12.375 12.625 22860
12.75 0.76084 0.0257129 0.0210927 12.625 12.875 13100
13.00 0.855354 0.0239708 0.0196043 12.875 13.125 7266
13.25 0.90569 0.019695 0.0115016 13.125 13.375 3849
13.50 0.944614 0.00907576 0.00860566 13.375 13.625 1968
13.75 0.95846 0.00604308 0.00433153 13.625 13.875 987
14.00 0.964871 0.00226498 8.24332e-05 13.875 14.125 427
14.25 0.972067 0 0.00577492 14.125 14.375 179
14.50 0.974359 0 0.00138599 14.375 14.625 39
14.75 1 0 0 14.625 14.875 10
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
