#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 3.49186e-05 6.98336e-05 1.22236e-09 8.625 8.875 28638
9.00 1.96971e-05 0 7.76708e-10 8.875 9.125 50769
9.25 4.12618e-06 8.24746e-06 4.12618e-06 9.125 9.375 242355
9.50 7.90082e-05 0.000164041 1.08567e-05 9.375 9.625 936612
9.75 0.000481935 0.00103893 5.24072e-05 9.625 9.875 2.62276e+06
10.00 0.000578304 0.000725458 0.000176049 9.875 10.125 3.58808e+06
10.25 0.00119911 0.00116812 0.000603172 10.125 10.375 2.53938e+06
10.50 0.00375437 0.00295329 0.00133943 10.375 10.625 1.58429e+06
10.75 0.0114204 0.00717373 0.00283224 10.625 10.875 977548
11.00 0.0283457 0.0109306 0.00551908 10.875 11.125 595294
11.25 0.061147 0.0134596 0.00860294 11.125 11.375 348259
11.50 0.117464 0.0128692 0.0131996 11.375 11.625 203849
11.75 0.211797 0.0114556 0.0201369 11.625 11.875 118467
12.00 0.332664 0.00779995 0.0230125 11.875 12.125 68703
12.25 0.479594 0.0131305 0.0269821 12.125 12.375 39473
12.50 0.633596 0.0243121 0.029875 12.375 12.625 22104
12.75 0.761724 0.0285293 0.0320446 12.625 12.875 12410
13.00 0.858144 0.0270769 0.0261444 12.875 13.125 6704
13.25 0.921647 0.0174536 0.0159106 13.125 13.375 3497
13.50 0.933603 0.0156475 0.00461555 13.375 13.625 1732
13.75 0.966952 0.00367194 0.00257879 13.625 13.875 817
14.00 0.97076 0.00292397 0.000172019 13.875 14.125 342
14.25 0.968254 0 0 14.125 14.375 126
14.50 0.966667 0 0.00114942 14.375 14.625 30
14.75 1 0 0 14.625 14.875 3
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
