#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0.000113986 3.79954e-05 7.59907e-05 8.625 8.875 26319
9.00 2.12761e-05 0 1.35697e-09 8.875 9.125 47001
9.25 9.02356e-06 9.01477e-06 4.59841e-09 9.125 9.375 221642
9.50 7.6461e-05 7.63995e-05 3.10451e-05 9.375 9.625 810871
9.75 0.000792361 0.000490758 0.000315345 9.625 9.875 2.22373e+06
10.00 0.00138804 0.000513966 0.000748247 9.875 10.125 3.33996e+06
10.25 0.00292555 0.00101886 0.00159226 10.125 10.375 2.42656e+06
10.50 0.00770923 0.00238159 0.00300775 10.375 10.625 1.52648e+06
10.75 0.0199253 0.00638766 0.00508684 10.625 10.875 947337
11.00 0.0450242 0.0101215 0.00852042 10.875 11.125 583242
11.25 0.0846157 0.0106353 0.0115325 11.125 11.375 345574
11.50 0.148387 0.0074348 0.0159292 11.375 11.625 204182
11.75 0.24157 0.0052975 0.0174061 11.625 11.875 120135
12.00 0.361664 0.00640136 0.0198862 11.875 12.125 70300
12.25 0.49896 0.0113322 0.0213717 12.125 12.375 40867
12.50 0.638685 0.0228115 0.0218025 12.375 12.625 23384
12.75 0.757517 0.02939 0.0187547 12.625 12.875 13436
13.00 0.84896 0.0268392 0.0175207 12.875 13.125 7455
13.25 0.906832 0.0206968 0.0128816 13.125 13.375 4025
13.50 0.933841 0.0146424 0.00447482 13.375 13.625 2101
13.75 0.957102 0.00632435 0.00285989 13.625 13.875 1049
14.00 0.975 0 0.00428873 13.875 14.125 480
14.25 0.976526 0.00460625 0.000222504 14.125 14.375 213
14.50 0.941176 0 0.00117648 14.375 14.625 51
14.75 0.9375 0 0 14.625 14.875 16
15.00 1 0 0 14.875 15.125 2
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
