#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 26237
9.00 0 2.15448e-05 0 8.875 9.125 46415
9.25 2.7719e-05 4.61087e-06 9.24854e-06 9.125 9.375 216458
9.50 0.000118404 5.58205e-05 7.85872e-05 9.375 9.625 776999
9.75 0.0011541 0.000543536 0.000611436 9.625 9.875 2.11333e+06
10.00 0.00191894 0.000615411 0.00121455 9.875 10.125 3.22783e+06
10.25 0.0040768 0.000819078 0.00251759 10.125 10.375 2.37907e+06
10.50 0.010007 0.00207655 0.00443902 10.375 10.625 1.50295e+06
10.75 0.0249874 0.00498575 0.0076781 10.625 10.875 934392
11.00 0.0520263 0.00888271 0.0109803 10.875 11.125 576651
11.25 0.0948306 0.00846484 0.015126 11.125 11.375 343697
11.50 0.161882 0.00575805 0.0196752 11.375 11.625 203586
11.75 0.253198 0.00331739 0.0186248 11.625 11.875 120301
12.00 0.373319 0.00618225 0.0190381 11.875 12.125 70583
12.25 0.50725 0.0130045 0.0204045 12.125 12.375 41171
12.50 0.641786 0.0221287 0.0182776 12.375 12.625 23807
12.75 0.757818 0.0311518 0.0186021 12.625 12.875 13622
13.00 0.844367 0.0294048 0.0125265 12.875 13.125 7704
13.25 0.89852 0.0203342 0.0139503 13.125 13.375 4188
13.50 0.92838 0.0237648 0.00582218 13.375 13.625 2234
13.75 0.960387 0.00947082 0.00355917 13.625 13.875 1136
14.00 0.96737 0.00580961 0.00191939 13.875 14.125 521
14.25 0.966102 0.00847459 0.000144243 14.125 14.375 236
14.50 0.934426 0.0163934 0.00109291 14.375 14.625 61
14.75 0.92 0 0 14.625 14.875 25
15.00 1 0 0 14.875 15.125 2
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
