#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 90857
9.00 0 6.42323e-06 0 8.875 9.125 155682
9.25 3.12018e-06 1.09206e-05 3.55385e-10 9.125 9.375 640989
9.50 7.58118e-05 0.000610169 2.94288e-06 9.375 9.625 2.18963e+06
9.75 0.000340286 0.00242656 8.21237e-06 9.625 9.875 4.3434e+06
10.00 0.000213478 0.00183186 -5.49684e-06 9.875 10.125 4.04726e+06
10.25 6.79702e-05 0.000582246 3.21226e-07 10.125 10.375 2.66293e+06
10.50 0.000198497 0.000590409 0.000164856 10.375 10.625 1.64234e+06
10.75 0.000994256 0.00175069 0.000885655 10.625 10.875 983650
11.00 0.00385792 0.00487268 0.00305311 10.875 11.125 549519
11.25 0.0132644 0.00913638 0.00922717 11.125 11.375 302388
11.50 0.0371244 0.0149812 0.0222394 11.375 11.625 166252
11.75 0.097713 0.0183174 0.0451882 11.625 11.875 89855
12.00 0.203898 0.0136786 0.0617231 11.875 12.125 47259
12.25 0.359901 0.00359818 0.0693696 12.125 12.375 24165
12.50 0.563577 0.0232833 0.0638273 12.375 12.625 11954
12.75 0.733188 0.064131 0.0516574 12.625 12.875 5517
13.00 0.861205 0.0564516 0.0389738 12.875 13.125 2356
13.25 0.931987 0.0276302 0.0265675 13.125 13.375 941
13.50 0.981481 5.6982e-05 0.0060969 13.375 13.625 324
13.75 0.975904 0 0.0120482 13.625 13.875 83
14.00 1 0 0 13.875 14.125 16
14.25 1 0 0 14.125 14.375 1
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
