#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 27445
9.00 0 2.11349e-05 0 8.875 9.125 47315
9.25 2.76635e-05 4.60851e-06 9.22781e-06 9.125 9.375 216892
9.50 0.000163625 7.77034e-05 0.000133407 9.375 9.625 757829
9.75 0.00160802 0.000444457 0.00109796 9.625 9.875 2.03231e+06
10.00 0.00268732 0.000764643 0.0019661 9.875 10.125 3.12096e+06
10.25 0.00542381 0.00117398 0.00365518 10.125 10.375 2.33489e+06
10.50 0.0125943 0.0027026 0.00633011 10.375 10.625 1.48170e+06
10.75 0.0295008 0.00482763 0.0105772 10.625 10.875 922010
11.00 0.0596744 0.00715438 0.0153665 10.875 11.125 570194
11.25 0.104603 0.00789455 0.0197543 11.125 11.375 341214
11.50 0.171987 0.00694458 0.023413 11.375 11.625 202742
11.75 0.265545 0.00345603 0.0211681 11.625 11.875 120390
12.00 0.382093 0.00625658 0.0197489 11.875 12.125 70543
12.25 0.510427 0.0158663 0.0203593 12.125 12.375 41381
12.50 0.638702 0.0351206 0.0209522 12.375 12.625 24066
12.75 0.750162 0.0423908 0.0220834 12.625 12.875 13913
13.00 0.836405 0.0437621 0.0204194 12.875 13.125 7867
13.25 0.892923 0.0381032 0.0185607 13.125 13.375 4324
13.50 0.930727 0.0285608 0.0100029 13.375 13.625 2353
13.75 0.952101 0.0226254 0.00517577 13.625 13.875 1190
14.00 0.968254 0.010582 0.00542212 13.875 14.125 567
14.25 0.966292 0.00729275 0.00780159 14.125 14.375 267
14.50 0.946667 0.0133333 0.0266666 14.375 14.625 75
14.75 0.96875 0.03125 0 14.625 14.875 32
15.00 1 0 0 14.875 15.125 3
15.25 1 0 0 15.125 15.375 1
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
