#Peak halo masses in Msun
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
#Log10(HM) FQ(True_SSFR<1e-11/yr) Err+ Err- HM_Left_Edge HM_Right_Edge Bestfit_Halo_Counts
#Bestfit_Halo_Counts is the number of halos in the bin for the bestfit model.
8.00 0 0 0 7.875 8.125 0
8.25 0 0 0 8.125 8.375 0
8.50 0 0 0 8.375 8.625 0
8.75 0 0 0 8.625 8.875 117576
9.00 0 0 0 8.875 9.125 157040
9.25 0 0 0 9.125 9.375 341656
9.50 0 0 0 9.375 9.625 589869
9.75 0 0 0 9.625 9.875 503200
10.00 0 0 0 9.875 10.125 232778
10.25 0 0 0 10.125 10.375 88228
10.50 0 0 0 10.375 10.625 29459
10.75 0 0.000108601 0 10.625 10.875 9205
11.00 0 0 0 10.875 11.125 2459
11.25 0 0 0 11.125 11.375 526
11.50 0 0 0 11.375 11.625 102
11.75 0 0 0 11.625 11.875 14
12.00 0 0 0 11.875 12.125 1
12.25 0 0 0 12.125 12.375 0
12.50 0 0 0 12.375 12.625 0
12.75 0 0 0 12.625 12.875 0
13.00 0 0 0 12.875 13.125 0
13.25 0 0 0 13.125 13.375 0
13.50 0 0 0 13.375 13.625 0
13.75 0 0 0 13.625 13.875 0
14.00 0 0 0 13.875 14.125 0
14.25 0 0 0 14.125 14.375 0
14.50 0 0 0 14.375 14.625 0
14.75 0 0 0 14.625 14.875 0
15.00 0 0 0 14.875 15.125 0
15.25 0 0 0 15.125 15.375 0
15.50 0 0 0 15.375 15.625 0
15.75 0 0 0 15.625 15.875 0
